PROV,2014_Factor,Pneumonia_Cases_2014,Pneumonia_Ratio_2014,HF_Cases_2014,HF_Ratio_2014,AMI_Cases_2014,AMI_Ratio_2014
110135,0.9965,95,1.066027,101,1.011240,4,0.000000
110142,0.9932,105,0.952387,112,1.122707,11,0.000000
110143,0.9977,532,1.071827,681,0.961333,257,1.091373
110146,0.9976,73,1.003959,66,1.052039,10,0.000000
110150,1.0000,188,0.944062,193,0.932339,17,0.000000
110153,0.9985,210,1.021210,105,0.925830,11,0.000000
110161,0.9997,184,1.021143,135,0.940662,51,1.015683
110163,1.0000,159,0.983777,141,0.988257,21,0.000000
110164,0.9979,263,1.101796,547,1.041835,213,0.938949
110165,0.9979,203,1.054051,464,1.084710,134,0.971714
110168,1.0000,349,0.835712,952,0.999143,591,0.970451
110177,0.9995,189,1.025651,235,1.028278,48,0.945733
