PROV,2016_Factor,Pneumonia_Cases_2016,Pneumonia_Ratio_2016,HF_Cases_2016,HF_Ratio_2016,AMI_Cases_2016,AMI_Ratio_2016,HIP_Cases_2016,HIP_Ratio_2016,COPD_Cases_2016,COPD_Ratio_2016
50608,0.9956,119,1.023848619,90,1.017555313,9,0,46,0.981086552,96,1.072715349
50609,1.0000,13,0,13,0,5,0,4,0,12,0
50616,0.9993,231,0.895820685,236,1.010694266,43,0.976758843,136,0.923770597,166,1.010708022
50618,1.0000,35,0.967214408,6,0,0,0,1,0,13,0
50624,0.9932,374,0.98189079,398,1.114511238,169,1.03648492,90,1.042645361,337,1.038064725
50625,1.0000,1113,0.926957361,1794,0.927137798,578,0.954278306,1691,0.968969641,656,0.968046999
50633,0.9913,323,1.10466918,217,0.989963719,35,1.06612242,376,1.04869312,221,0.963488749
50636,0.9938,213,0.937078328,247,0.939093755,59,0.955592696,265,1.09195413,116,0.926549052
50641,0.9990,57,0.981127713,52,1.046258096,21,0,1,0,70,0.992761578
50644,1.0000,29,0.981206128,31,0.976332569,2,0,0,0,14,0
50663,0.9974,139,1.032450238,111,1.094497641,49,1.092677694,15,0,224,0.880371398
50668,0.9963,30,1.022222629,2,0,0,0,0,0,4,0
50674,0.9998,14,0,40,1.010921206,9,0,3,0,12,0
50677,1.0000,3,0,8,0,3,0,2,0,3,0
50678,0.9911,201,1.110736357,236,0.943428793,78,1.037901244,133,1.232968848,151,1.02180859
50684,0.9951,91,1.062812877,102,1.06258869,32,0.968800711,37,1.038829795,157,0.971171708
50686,1.0000,6,0,11,0,2,0,1,0,2,0
50688,0.9987,165,0.982412112,193,1.00660971,43,1.07032589,62,1.009375625,106,0.997104324
50689,0.9915,213,1.052213529,138,0.935534872,58,1.009520344,66,1.315350957,88,0.962582656
50690,1.0000,5,0,5,0,4,0,4,0,7,0
50696,0.9988,49,1.023125487,120,1.105945924,62,1.025977609,588,0.794056283,23,0
50697,1.0000,0,0,0,0,0,0,16,0,0,0
50701,0.9978,241,1.054687134,255,1.027775593,76,1.016080529,153,0.996087406,277,0.937546454
50704,1.0000,158,0.951880897,198,0.94994895,24,0,60,0.966031337,198,0.906758574
50708,1.0000,0,0,0,0,0,0,1505,0.753166628,1,0
50709,0.9962,158,1.008772302,287,0.992523323,92,1.083331232,60,1.071604185,197,1.040871172
50710,1.0000,0,0,7,0,4,0,4,0,1,0
50714,1.0000,0,0,0,0,0,0,162,0.99863475,0,0
50717,1.0000,3,0,2,0,0,0,10,0,0,0
50723,1.0000,2,0,14,0,4,0,1,0,5,0
50724,0.9933,246,0.999999245,474,1.042208362,256,0.987623668,152,1.193396522,268,1.030478783
50726,1.0000,0,0,0,0,0,0,441,0.993513623,0,0
50727,0.9993,153,0.996024496,69,1.005748744,44,1.036787343,0,0,121,0.942492035
50732,1.0000,20,0,167,0.931094509,58,0.967221926,0,0,13,0
50735,1.0000,147,0.904044799,147,0.995560251,56,0.935935327,14,0,101,0.922357357
50736,0.9970,64,1.111120543,78,0.903771618,18,0,24,0,94,1.002076437
50737,0.9919,463,1.03891996,478,1.119217331,154,0.975847462,20,0,313,0.989670961
50738,0.9984,89,0.996932307,47,1.02959215,15,0,0,0,72,1.025412318
50739,0.9872,274,1.03132013,828,1.209853362,213,1.201946084,56,1.119655787,603,1.05072324
50740,0.9980,127,1.02110274,174,1.043344898,32,0.983239347,74,0.986100379,93,1.030976189
50742,0.9961,234,1.049057574,266,1.067193269,48,1.06051736,27,1.013852635,261,1.054433268
50744,0.9999,30,1.003873188,19,0,34,0.997887331,0,0,14,0
50745,0.9984,48,1.045960984,32,0.935329817,1,0,37,1.010969867,17,0
50746,0.9984,72,0.928174377,68,0.974794031,67,1.048251007,2,0,44,0.938830051
50747,0.9992,64,1.000375891,53,1.026231536,4,0,5,0,31,0.95979482
50748,1.0000,4,0,6,0,1,0,8,0,2,0
50749,1.0000,0,0,0,0,0,0,138,0.925009358,0,0
50751,1.0000,0,0,0,0,0,0,6,0,1,0
50752,0.9922,136,1.05944978,109,1.207605529,53,1.110260245,13,0,229,1.031867165
50754,1.0000,0,0,0,0,0,0,0,0,0,0
50755,0.9952,107,1.060596446,189,1.065656562,203,1.033536078,49,1.053020739,127,0.961369745
50757,0.9989,240,1.023725454,235,0.892394593,91,0.953169467,119,1.028012564,212,0.959256648
50758,0.9996,72,0.90671054,47,0.995280584,24,0,0,0,47,1.023607827
50760,1.0000,6,0,15,0,4,0,8,0,7,0
50761,0.9994,564,0.997051564,700,0.971662856,227,0.953657434,53,1.127346549,382,0.89598354
50763,0.9998,62,0.931424327,58,1.019936283,6,0,8,0,167,0.975515085
50764,0.9851,334,1.056429175,504,1.052209548,274,1.171017606,303,1.218225215,368,0.976015106
50765,1.0000,27,0.989079391,21,0,3,0,2,0,23,0
50766,0.9700,0,0,0,0,0,0,336,1.078810324,0,0
50767,1.0000,8,0,7,0,4,0,4,0,9,0
50768,0.9999,28,1.002788467,12,0,1,0,0,0,22,0
50769,1.0000,0,0,0,0,0,0,2966,0.544202718,0,0
