"PROVIDER_NUMBER","value_2011","value_2012","value_2013","value_2014","Y12_11","Y13_12","Y14_13","change","change2","min","max","year_change"
281338,197,188,164,171,0.954314720812183,0.912407425246348,0.953915622548102,0.956446024391122,0.940212589535544,0.940212589535544,0.956446024391122,0.941091327151139
281339,354,315,303,286,0.889830508474576,0.925166040983904,0.931367166551633,0.931876553272761,0.915454572003371,0.915454572003371,0.931876553272761,0.915840981396707
281340,90,61,82,86,0.677777777777778,0.954521404218424,0.984960121228318,1.02360685355487,0.872419767741506,0.872419767741506,1.02360685355487,0.892707125715505
281341,267,291,275,196,1.08988764044944,1.01487070448234,0.902086679626267,0.915877365102432,1.00228167485268,0.915877365102432,1.00228167485268,0.940136404353138
281342,177,182,169,134,1.02824858757062,0.977139836403678,0.911403119373352,0.916573141475358,0.97226384778255,0.916573141475358,0.97226384778255,0.929449241791088
281343,186,199,149,148,1.06989247311828,0.895028082697523,0.926651124418601,0.937308260771757,0.963857226744801,0.937308260771757,0.963857226744801,0.939074525683531
281344,177,172,173,189,0.971751412429379,0.988635994663103,1.02210656852193,1.0233503050169,0.994164658538137,0.994164658538137,1.0233503050169,1.01979332470562
281345,214,185,192,208,0.864485981308411,0.94720444555663,0.990565475273824,0.995219050826528,0.934085300712955,0.934085300712955,0.995219050826528,0.977889355606829
281346,133,57,80,97,0.428571428571429,0.775566734329481,0.900133029007073,1.01486006683375,0.701423730635994,0.701423730635994,1.01486006683375,0.867475411271295
281347,143,103,96,85,0.72027972027972,0.819346490398703,0.840803084196994,0.845911740632614,0.793476431625139,0.793476431625139,0.845911740632614,0.804518503225571
281348,271,258,285,237,0.952029520295203,1.02550500564608,0.956297495496725,0.962753210151441,0.977944007146002,0.962753210151441,0.977944007146002,0.967645795353522
281349,247,250,230,247,1.01214574898785,0.964973620918637,1,1.00201959748871,0.992373123302164,0.992373123302164,1.00201959748871,0.998782852746063
281350,119,133,143,98,1.11764705882353,1.09621196502725,0.937331124265641,0.959383238021009,1.05039671603881,0.959383238021009,1.05039671603881,1.00654486422259
281351,111,94,67,53,0.846846846846847,0.776919303147762,0.781599543285325,0.783552526804353,0.801788564426645,0.783552526804353,0.801788564426645,0.789394101184149
281353,238,259,222,226,1.08823529411765,0.965801796044974,0.982902622980096,0.987798723092841,1.01231323771424,0.987798723092841,1.01231323771424,1.00002455502223
281354,151,137,64,131,0.907284768211921,0.651030767016928,0.953743188830344,1.14043768429448,0.837352908019731,0.837352908019731,1.14043768429448,1.09169603730407
281355,272,271,230,228,0.996323529411765,0.919558717697852,0.942877591364586,0.945445454774241,0.952919946158068,0.945445454774241,0.952919946158068,0.948780693538917
